Han_Ji,Chu_Im,Freq,Siann,Un, Tiau 
禾,ho5,,h,o, 5 
穴,hiat8,,h,iat, 8 
立,lip8,,l,ip, 8 
𠂔,chhi2,,chh,i, 2 
𠂔,chhu2,,chh,u, 2 
𠆩,hoan3,,h,oan, 3 
𢎥,koan3,0.01 ,k,oan, 3 
㐁,thiam3,,th,iam, 3 
㐆,qi1,,q,i, 1 
㐹,git4,0.01 ,g,it, 4 
㐺,chhiong3,0.01 ,chh,iong, 3 
㐺,gim5,,g,im, 5 
㕜,su2,0.01 ,s,u, 2 
㜽,chhu2,0.01 ,chh,u, 2 
㣻,gainn7,,g,ainn, 7 
㧇,bonnh4,,b,onnh, 4 
㱙,hiu2,,h,iu, 2 
丞,sin5,,s,in, 5 
丟,tiu1,,t,iu, 1 
丠,khiu1,0.01 ,kh,iu, 1 
丢,tiu1,0.01 ,t,iu, 1 
乑,gim5,,g,im, 5 
乑,phan1,0.01 ,ph,an, 1 
乨,si2,0.01 ,s,i, 2 
乩,ki1,,k,i, 1 
亘,soan1,,s,oan, 1 
亙,keng3,,k,eng, 3 
交,kau1,,k,au, 1 
亥,hai7,,h,ai, 7 
亦,qek8,,q,ek, 8 
仮,hoan2,,h,oan, 2 
仯,biau2,,b,iau, 2 
仰,gang5,0.10 ,g,ang, 5 
仰,giang2,,g,iang, 2 
仰,giang7,,g,iang, 7 
仱,khiam5,,kh,iam, 5 
仲,tiong7,,t,iong, 7 
仳,pi2,,p,i, 2 
仴,goat8,,g,oat, 8 
仵,gonn2,,g,onn, 2 
件,kian7,,k,ian, 7 
价,kai3,,k,ai, 3 
仸,qiau2,,q,iau, 2 
仹,hong1,,h,ong, 1 
仺,chong1,0.01 ,ch,ong, 1 
任,jim5,,j,im, 5 
任,jim7,,j,im, 7 
仼,qong5,,q,ong, 5 
份,pin1,0.01 ,p,in, 1 
仾,te1,0.01 ,t,e, 1 
仿,hong2,,h,ong, 2 
伀,thiong1,,th,iong, 1 
企,khi2,,kh,i, 2 
企,khi3,0.10 ,kh,i, 3 
伂,phai3,0.01 ,ph,ai, 3 
伃,qi5,,q,i, 5 
伄,tiau3,,t,iau, 3 
伅,tun2,,t,un, 2 
伆,bun2,,b,un, 2 
伇,qek8,,q,ek, 8 
伈,sim2,,s,im, 2 
伉,khong3,,kh,ong, 3 
伉,kong1,,k,ong, 1 
伊,qi1,,q,i, 1 
伋,kip4,,k,ip, 4 
伌,qai3,,q,ai, 3 
伍,gonn2,,g,onn, 2 
伎,chhi3,0.01 ,chh,i, 3 
伎,ki7,,k,i, 7 
伏,hok8,,h,ok, 8 
伏,hu7,0.10 ,h,u, 7 
伏,pok8,,p,ok, 8 
伐,hoat8,,h,oat, 8 
休,hiu1,,h,iu, 1 
伨,thin7,,th,in, 7 
兆,tiau7,,t,iau, 7 
兇,hiong1,,h,iong, 1 
先,sian1,,s,ian, 1 
先,sian3,,s,ian, 3 
光,kong1,,k,ong, 1 
兊,toe5,0.01 ,t,oe, 5 
全,chhoan5,,chh,oan, 5 
共,kiong1,0.01 ,k,iong, 1 
共,kiong2,0.10 ,k,iong, 2 
共,kiong7,,k,iong, 7 
再,chhai3,,chh,ai, 3 
冰,peng1,,p,eng, 1 
冲,chiong1,0.01 ,ch,iong, 1 
决,koat4,0.01 ,k,oat, 4 
刎,bun2,,b,un, 2 
刐,tan2,,t,an, 2 
刑,heng5,,h,eng, 5 
刓,goan5,,g,oan, 5 
刔,koat4,,k,oat, 4 
刖,goat8,,g,oat, 8 
列,liat8,,l,iat, 8 
劣,loat4,,l,oat, 4 
劦,hiap8,0.01 ,h,iap, 8 
匈,hiong1,,h,iong, 1 
匠,chiang7,,ch,iang, 7 
匡,khong1,,kh,ong, 1 
印,qin3,,q,in, 3 
危,gui5,,g,ui, 5 
吁,hi1,,h,i, 1 
吃,git4,,g,it, 4 
各,kok4,,k,ok, 4 
合,hap8,,h,ap, 8 
合,kap4,,k,ap, 4 
吉,kit4,,k,it, 4 
吊,tiau3,,t,iau, 3 
同,tong5,,t,ong, 5 
名,beng5,,b,eng, 5 
后,hoo7,,h,oo, 7 
吏,li7,,l,i, 7 
吐,thoo3,,th,oo, 3 
向,hiang3,,h,iang, 3 
吒,cha3,,ch,a, 3 
吒,che3,0.01 ,ch,e, 3 
囝,kian2,,k,ian, 2 
回,hoe5,,h,oe, 5 
囟,sin3,,s,in, 3 
因,qin1,,q,in, 1 
在,chhai7,,chh,ai, 7 
圬,qu1,0.01 ,q,u, 1 
圭,kui1,,k,ui, 1 
圮,ki2,,k,i, 2 
圯,qi5,,q,i, 5 
地,te7,,t,e, 7 
圳,chhun3,,chh,un, 3 
夙,siok4,,s,iok, 4 
多,to1,,t,o, 1 
夵,thui5,,th,ui, 5 
夷,qi5,,q,i, 5 
夸,khoa1,,kh,oa, 1 
奸,kan1,,k,an, 1 
好,ho2,,h,o, 2 
好,honn2,,h,onn, 2 
好,honn3,,h,onn, 3 
妁,chhiak4,,chh,iak, 4 
如,ji5,,j,i, 5 
妃,hui1,,h,ui, 1 
妃,phoe3,0.01 ,ph,oe, 3 
妄,bong7,,b,ong, 7 
字,ju7,,j,u, 7 
存,chhun5,,chh,un, 5 
宅,thek8,,th,ek, 8 
宇,qi2,,q,i, 2 
守,siu2,,s,iu, 2 
守,siu3,,s,iu, 3 
安,qan1,,q,an, 1 
寺,si7,,s,i, 7 
尖,chham1,,chh,am, 1 
尖,chhiam1,,chh,iam, 1 
尽,chhin7,0.01 ,chh,in, 7 
屹,git4,,g,it, 4 
屼,gut8,,g,ut, 8 
州,chhiu1,,chh,iu, 1 
巟,hong1,,h,ong, 1 
帆,hoan5,,h,oan, 5 
帆,hoan7,,h,oan, 7 
年,lian5,,l,ian, 5 
幵,khian1,,kh,ian, 1 
并,peng3,,p,eng, 3 
庄,chhong1,,chh,ong, 1 
廵,sun5,0.01 ,s,un, 5 
异,qi7,0.01 ,q,i, 7 
弎,sam1,0.01 ,s,am, 1 
式,sit4,,s,it, 4 
弛,si2,,s,i, 2 
忖,chun2,,ch,un, 2 
忙,bong5,,b,ong, 5 
戌,sut4,,s,ut, 4 
戍,sui3,,s,ui, 3 
戎,jiong5,,j,iong, 5 
成,seng5,,s,eng, 5 
托,thok4,,th,ok, 4 
扚,tek4,,t,ek, 4 
扛,kong1,,k,ong, 1 
扞,han7,0.01 ,h,an, 7 
扠,che1,,ch,e, 1 
扢,kap4,,k,ap, 4 
扣,khoo3,,kh,oo, 3 
扤,gut8,,g,ut, 8 
收,siu1,,s,iu, 1 
攷,kho2,,kh,o, 2 
